team	stats	rankings	value
SMU	Turnover Margin	120	-1.17
SMU	3rd Down Conversion Pct	115	0.326
SMU	4th Down Conversion Pct	T-58	0.500
SMU	3rd Down Conversion Pct Defense	102	0.438
SMU	4th Down Conversion Pct Defense	T-78	0.550
SMU	Red Zone Offense	121	0.690
SMU	Red Zone Defense	65	0.831
SMU	Net Punting	95	35.64
SMU	Punt Returns	115	4.29
SMU	Kickoff Returns	113	18.79
SMU	First Downs Offense	124	176
SMU	First Downs Defense	109	302
SMU	Fewest Penalties Per Game	73	6.17
SMU	Fewest Penalty Yards Per Game	64	52.67
SMU	Time of Possession	90	   28:50
La.-Monroe	Stat	Rank	Value
La.-Monroe	Total Offense	106	349.4
La.-Monroe	Rushing Offense	123	69.5
La.-Monroe	Passing Offense	24	279.9
La.-Monroe	Team Passing Efficiency	80	119.97
La.-Monroe	Scoring Offense	112	20.1
La.-Monroe	Total Defense	47	373.3
La.-Monroe	Rushing Defense	84	183.3
La.-Monroe	Passing Yards Allowed	14	189.9
La.-Monroe	Team Passing Efficiency Defense	51	124.11
La.-Monroe	Scoring Defense	57	26.3
La.-Monroe	Turnover Margin	T-69	-0.08
La.-Monroe	3rd Down Conversion Pct	104	0.345
La.-Monroe	4th Down Conversion Pct	T-58	0.500
La.-Monroe	3rd Down Conversion Pct Defense	11	0.326
La.-Monroe	4th Down Conversion Pct Defense	T-72	0.542
La.-Monroe	Red Zone Offense	47	0.853
La.-Monroe	Red Zone Defense	66	0.833
La.-Monroe	Net Punting	90	35.97
La.-Monroe	Punt Returns	31	10.07
La.-Monroe	Kickoff Returns	67	20.64
La.-Monroe	First Downs Offense	T-105	221
La.-Monroe	First Downs Defense	23	227
La.-Monroe	Fewest Penalties Per Game	15	4.42
La.-Monroe	Fewest Penalty Yards Per Game	9	35.42
La.-Monroe	Time of Possession	58	   29:53
North Texas	Stat	Rank	Value
North Texas	Total Offense	114	325.9
North Texas	Rushing Offense	T-77	153.2
North Texas	Passing Offense	109	172.8
North Texas	Team Passing Efficiency	104	112.40
North Texas	Scoring Offense	76	27.2
North Texas	Total Defense	42	369.4
North Texas	Rushing Defense	56	161.8
North Texas	Passing Yards Allowed	34	207.7
North Texas	Team Passing Efficiency Defense	65	128.18
North Texas	Scoring Defense	84	29.8
North Texas	Turnover Margin	T-59	0.00
North Texas	3rd Down Conversion Pct	80	0.387
North Texas	4th Down Conversion Pct	T-82	0.462
North Texas	3rd Down Conversion Pct Defense	48	0.384
North Texas	4th Down Conversion Pct Defense	T-98	0.611
North Texas	Red Zone Offense	1	0.943
North Texas	Red Zone Defense	105	0.886
North Texas	Net Punting	73	37.03
North Texas	Punt Returns	62	7.84
North Texas	Kickoff Returns	20	23.24
North Texas	First Downs Offense	110	213
North Texas	First Downs Defense	17	222
North Texas	Fewest Penalties Per Game	37	5.25
North Texas	Fewest Penalty Yards Per Game	52	50.25
North Texas	Time of Possession	99	   28:38
North Carolina St.	Stat	Rank	Value
North Carolina St.	Total Offense	57	408.5
North Carolina St.	Rushing Offense	37	204.5
North Carolina St.	Passing Offense	82	204.0
North Carolina St.	Team Passing Efficiency	50	134.90
North Carolina St.	Scoring Offense	55	30.2
North Carolina St.	Total Defense	46	373.1
North Carolina St.	Rushing Defense	65	168.4
North Carolina St.	Passing Yards Allowed	30	204.7
North Carolina St.	Team Passing Efficiency Defense	42	121.54
North Carolina St.	Scoring Defense	65	27.0
North Carolina St.	Turnover Margin	T-37	0.38
North Carolina St.	3rd Down Conversion Pct	26	0.458
North Carolina St.	4th Down Conversion Pct	T-58	0.500
North Carolina St.	3rd Down Conversion Pct Defense	121	0.485
North Carolina St.	4th Down Conversion Pct Defense	T-90	0.600
North Carolina St.	Red Zone Offense	41	0.865
North Carolina St.	Red Zone Defense	T-43	0.800
North Carolina St.	Net Punting	14	40.45
North Carolina St.	Punt Returns	121	3.65
North Carolina St.	Kickoff Returns	118	18.28
North Carolina St.	First Downs Offense	49	282
North Carolina St.	First Downs Defense	74	269
North Carolina St.	Fewest Penalties Per Game	23	4.85
North Carolina St.	Fewest Penalty Yards Per Game	32	42.92
North Carolina St.	Time of Possession	71	   29:29
Temple	Stat	Rank	Value
Temple	Total Offense	117	308.4
Temple	Rushing Offense	115	107.8
Temple	Passing Offense	86	200.7
Temple	Team Passing Efficiency	117	106.00
Temple	Scoring Offense	97	23.1
Temple	Total Defense	24	347.1
Temple	Rushing Defense	52	160.2
Temple	Passing Yards Allowed	13	186.9
Temple	Team Passing Efficiency Defense	20	112.29
Temple	Scoring Defense	4	17.5
Temple	Turnover Margin	45	0.25
Temple	3rd Down Conversion Pct	125	0.235
Temple	4th Down Conversion Pct	T-58	0.500
Temple	3rd Down Conversion Pct Defense	19	0.350
Temple	4th Down Conversion Pct Defense	T-16	0.333
Temple	Red Zone Offense	120	0.690
Temple	Red Zone Defense	8	0.727
Temple	Net Punting	97	35.61
Temple	Punt Returns	16	12.28
Temple	Kickoff Returns	90	19.76
Temple	First Downs Offense	T-121	182
Temple	First Downs Defense	25	233
Temple	Fewest Penalties Per Game	T-88	6.50
Temple	Fewest Penalty Yards Per Game	74	54.42
Temple	Time of Possession	119	   26:47
Appalachian St.	Stat	Rank	Value
Texas A&M	Stat	Rank	Value
Texas A&M	Total Offense	30	455.4
Texas A&M	Rushing Offense	82	149.9
Texas A&M	Passing Offense	12	305.5
Texas A&M	Team Passing Efficiency	20	148.69
Texas A&M	Scoring Offense	26	35.2
Texas A&M	Total Defense	102	450.8
Texas A&M	Rushing Defense	109	216.0
Texas A&M	Passing Yards Allowed	80	234.8
Texas A&M	Team Passing Efficiency Defense	64	127.86
Texas A&M	Scoring Defense	T-75	28.1
Texas A&M	Turnover Margin	T-105	-0.54
Texas A&M	3rd Down Conversion Pct	63	0.408
Texas A&M	4th Down Conversion Pct	36	0.579
Texas A&M	3rd Down Conversion Pct Defense	69	0.402
Texas A&M	4th Down Conversion Pct Defense	T-90	0.600
Texas A&M	Red Zone Offense	32	0.878
Texas A&M	Red Zone Defense	92	0.860
Texas A&M	Net Punting	11	40.65
Texas A&M	Punt Returns	T-13	12.45
Texas A&M	Kickoff Returns	22	23.12
Texas A&M	First Downs Offense	33	300
Texas A&M	First Downs Defense	T-109	302
Texas A&M	Fewest Penalties Per Game	35	5.23
Texas A&M	Fewest Penalty Yards Per Game	55	51.00
Texas A&M	Time of Possession	122	   26:15
Tennessee	Stat	Rank	Value
Tennessee	Total Offense	90	370.5
Tennessee	Rushing Offense	89	146.4
Tennessee	Passing Offense	70	224.2
Tennessee	Team Passing Efficiency	70	126.64
Tennessee	Scoring Offense	62	28.9
Tennessee	Total Defense	36	364.6
Tennessee	Rushing Defense	T-65	168.4
Tennessee	Passing Yards Allowed	22	196.2
Tennessee	Team Passing Efficiency Defense	24	115.67
Tennessee	Scoring Defense	35	24.2
Tennessee	Turnover Margin	T-53	0.15
Tennessee	3rd Down Conversion Pct	78	0.389
Tennessee	4th Down Conversion Pct	T-34	0.583
Tennessee	3rd Down Conversion Pct Defense	14	0.344
Tennessee	4th Down Conversion Pct Defense	26	0.400
Tennessee	Red Zone Offense	5	0.926
Tennessee	Red Zone Defense	124	0.941
Tennessee	Net Punting	36	38.59
Tennessee	Punt Returns	37	9.68
Tennessee	Kickoff Returns	14	24.03
Tennessee	First Downs Offense	54	277
Tennessee	First Downs Defense	33	244
Tennessee	Fewest Penalties Per Game	7	4.15
Tennessee	Fewest Penalty Yards Per Game	6	34.15
Tennessee	Time of Possession	51	   30:14
TCU	Stat	Rank	Value
TCU	Total Offense	T-5	533.0
TCU	Rushing Offense	34	206.8
TCU	Passing Offense	7	326.2
TCU	Team Passing Efficiency	23	147.69
TCU	Scoring Offense	2	46.5
TCU	Total Defense	18	341.8
TCU	Rushing Defense	9	108.8
TCU	Passing Yards Allowed	75	233.0
TCU	Team Passing Efficiency Defense	9	106.64
TCU	Scoring Defense	8	19.0
TCU	Turnover Margin	3	1.38
TCU	3rd Down Conversion Pct	39	0.431
TCU	4th Down Conversion Pct	T-58	0.500
TCU	3rd Down Conversion Pct Defense	2	0.279
TCU	4th Down Conversion Pct Defense	T-75	0.545
TCU	Red Zone Offense	44	0.862
TCU	Red Zone Defense	76	0.844
TCU	Net Punting	60	37.75
TCU	Punt Returns	33	9.86
TCU	Kickoff Returns	49	21.62
TCU	First Downs Offense	13	331
TCU	First Downs Defense	13	218
TCU	Fewest Penalties Per Game	82	6.31
TCU	Fewest Penalty Yards Per Game	85	57.85
TCU	Time of Possession	41	   30:37
Arizona St.	Stat	Rank	Value
Arizona St.	Total Offense	34	442.3
Arizona St.	Rushing Offense	56	168.8
Arizona St.	Passing Offense	32	273.5
Arizona St.	Team Passing Efficiency	26	144.30
Arizona St.	Scoring Offense	16	36.9
Arizona St.	Total Defense	81	417.1
Arizona St.	Rushing Defense	49	157.4
Arizona St.	Passing Yards Allowed	103	259.7
Arizona St.	Team Passing Efficiency Defense	83	131.83
Arizona St.	Scoring Defense	74	27.9
Arizona St.	Turnover Margin	6	1.08
Arizona St.	3rd Down Conversion Pct	85	0.382
Arizona St.	4th Down Conversion Pct	T-92	0.435
Arizona St.	3rd Down Conversion Pct Defense	42	0.378
Arizona St.	4th Down Conversion Pct Defense	T-51	0.500
Arizona St.	Red Zone Offense	12	0.906
Arizona St.	Red Zone Defense	23	0.761
Arizona St.	Net Punting	76	36.69
Arizona St.	Punt Returns	120	3.67
Arizona St.	Kickoff Returns	13	24.13
Arizona St.	First Downs Offense	32	301
Arizona St.	First Downs Defense	58	261
Arizona St.	Fewest Penalties Per Game	16	4.46
Arizona St.	Fewest Penalty Yards Per Game	4	32.38
Arizona St.	Time of Possession	97	   28:42
Arizona	Stat	Rank	Value
Arizona	Total Offense	25	463.6
Arizona	Rushing Offense	45	181.9
Arizona	Passing Offense	21	281.8
Arizona	Team Passing Efficiency	63	128.91
Arizona	Scoring Offense	28	34.5
Arizona	Total Defense	103	451.0
Arizona	Rushing Defense	68	169.8
Arizona	Passing Yards Allowed	118	281.2
Arizona	Team Passing Efficiency Defense	102	139.72
Arizona	Scoring Defense	78	28.2
Arizona	Turnover Margin	26	0.57
Arizona	3rd Down Conversion Pct	86	0.380
Arizona	4th Down Conversion Pct	23	0.615
Arizona	3rd Down Conversion Pct Defense	73	0.405
Arizona	4th Down Conversion Pct Defense	T-23	0.389
Arizona	Red Zone Offense	T-83	0.800
Arizona	Red Zone Defense	T-107	0.887
Arizona	Net Punting	20	39.79
Arizona	Punt Returns	28	10.24
Arizona	Kickoff Returns	54	21.50
Arizona	First Downs Offense	8	346
Arizona	First Downs Defense	122	337
Arizona	Fewest Penalties Per Game	T-94	6.57
Arizona	Fewest Penalty Yards Per Game	103	62.93
Arizona	Time of Possession	116	   27:13
Houston	Stat	Rank	Value
Houston	Total Offense	55	414.1
Houston	Rushing Offense	42	183.8
Houston	Passing Offense	64	230.2
Houston	Team Passing Efficiency	75	122.85
Houston	Scoring Offense	57	29.8
Houston	Total Defense	20	343.4
Houston	Rushing Defense	37	143.3
Houston	Passing Yards Allowed	27	200.1
Houston	Team Passing Efficiency Defense	18	111.65
Houston	Scoring Defense	15	20.6
Houston	Turnover Margin	22	0.62
Houston	3rd Down Conversion Pct	60	0.409
Houston	4th Down Conversion Pct	53	0.522
Houston	3rd Down Conversion Pct Defense	50	0.387
Houston	4th Down Conversion Pct Defense	21	0.368
Houston	Red Zone Offense	103	0.754
Houston	Red Zone Defense	94	0.864
Houston	Net Punting	75	36.82
Houston	Punt Returns	99	5.67
Houston	Kickoff Returns	125	16.55
Houston	First Downs Offense	T-46	286
Houston	First Downs Defense	T-42	248
Houston	Fewest Penalties Per Game	87	6.46
Houston	Fewest Penalty Yards Per Game	94	59.31
Houston	Time of Possession	67	   29:37
Memphis	Stat	Rank	Value
Memphis	Total Offense	46	427.1
Memphis	Rushing Offense	38	190.5
Memphis	Passing Offense	56	236.6
Memphis	Team Passing Efficiency	45	138.35
Memphis	Scoring Offense	21	36.2
Memphis	Total Defense	27	349.5
Memphis	Rushing Defense	19	121.5
Memphis	Passing Yards Allowed	62	228.0
Memphis	Team Passing Efficiency Defense	8	106.31
Memphis	Scoring Defense	11	19.5
Memphis	Turnover Margin	T-11	0.85
Memphis	3rd Down Conversion Pct	93	0.367
Memphis	4th Down Conversion Pct	T-7	0.714
Memphis	3rd Down Conversion Pct Defense	T-22	0.353
Memphis	4th Down Conversion Pct Defense	T-108	0.643
Memphis	Red Zone Offense	3	0.933
Memphis	Red Zone Defense	3	0.688
Memphis	Net Punting	49	37.97
Memphis	Punt Returns	46	8.83
Memphis	Kickoff Returns	27	22.79
Memphis	First Downs Offense	39	294
Memphis	First Downs Defense	T-35	245
Memphis	Fewest Penalties Per Game	77	6.23
Memphis	Fewest Penalty Yards Per Game	T-92	59.23
Memphis	Time of Possession	54	   30:07
Massachusetts	Stat	Rank	Value
Massachusetts	Total Offense	48	421.1
Massachusetts	Rushing Offense	112	109.3
Massachusetts	Passing Offense	11	311.8
Massachusetts	Team Passing Efficiency	57	131.37
Massachusetts	Scoring Offense	75	27.3
Massachusetts	Total Defense	101	447.5
Massachusetts	Rushing Defense	90	191.8
Massachusetts	Passing Yards Allowed	99	255.8
Massachusetts	Team Passing Efficiency Defense	87	133.17
Massachusetts	Scoring Defense	103	33.0
Massachusetts	Turnover Margin	T-103	-0.50
Massachusetts	3rd Down Conversion Pct	99	0.360
Massachusetts	4th Down Conversion Pct	51	0.528
Massachusetts	3rd Down Conversion Pct Defense	82	0.416
Massachusetts	4th Down Conversion Pct Defense	72	0.542
Massachusetts	Red Zone Offense	T-117	0.704
Massachusetts	Red Zone Defense	T-86	0.854
Massachusetts	Net Punting	118	33.29
Massachusetts	Punt Returns	102	5.50
Massachusetts	Kickoff Returns	34	22.44
Massachusetts	First Downs Offense	T-61	267
Massachusetts	First Downs Defense	92	281
Massachusetts	Fewest Penalties Per Game	69	6.08
Massachusetts	Fewest Penalty Yards Per Game	58	51.42
Massachusetts	Time of Possession	115	   27:15
Alabama	Stat	Rank	Value
Alabama	Total Offense	17	484.5
Alabama	Rushing Offense	35	206.6
Alabama	Passing Offense	28	277.9
Alabama	Team Passing Efficiency	10	155.73
Alabama	Scoring Offense	15	36.9
Alabama	Total Defense	12	328.4
Alabama	Rushing Defense	4	102.4
Alabama	Passing Yards Allowed	58	226.0
Alabama	Team Passing Efficiency Defense	30	116.53
Alabama	Scoring Defense	6	18.4
Alabama	Turnover Margin	71	-0.14
Alabama	3rd Down Conversion Pct	4	0.515
Alabama	4th Down Conversion Pct	5	0.769
Alabama	3rd Down Conversion Pct Defense	41	0.378
Alabama	4th Down Conversion Pct Defense	T-23	0.389
Alabama	Red Zone Offense	46	0.859
Alabama	Red Zone Defense	72	0.841
Alabama	Net Punting	1	44.67
Alabama	Punt Returns	41	9.36
Alabama	Kickoff Returns	71	20.53
Alabama	First Downs Offense	9	340
Alabama	First Downs Defense	26	234
Alabama	Fewest Penalties Per Game	T-25	4.93
Alabama	Fewest Penalty Yards Per Game	21	40.14
Alabama	Time of Possession	20	   31:45
Tulsa	Stat	Rank	Value
Tulsa	Total Offense	56	412.5
Tulsa	Rushing Offense	87	147.8
Tulsa	Passing Offense	36	264.7
Tulsa	Team Passing Efficiency	91	118.44
Tulsa	Scoring Offense	91	24.7
Tulsa	Total Defense	114	486.8
Tulsa	Rushing Defense	108	214.7
Tulsa	Passing Yards Allowed	113	272.1
Tulsa	Team Passing Efficiency Defense	119	156.67
Tulsa	Scoring Defense	119	39.3
Tulsa	Turnover Margin	111	-0.67
Tulsa	3rd Down Conversion Pct	82	0.384
Tulsa	4th Down Conversion Pct	104	0.393
Tulsa	3rd Down Conversion Pct Defense	83	0.417
Tulsa	4th Down Conversion Pct Defense	116	0.688
Tulsa	Red Zone Offense	101	0.761
Tulsa	Red Zone Defense	61	0.827
Tulsa	Net Punting	34	38.71
Tulsa	Punt Returns	66	7.47
Tulsa	Kickoff Returns	75	20.37
Tulsa	First Downs Offense	57	270
Tulsa	First Downs Defense	T-58	261
Tulsa	Fewest Penalties Per Game	T-88	6.50
Tulsa	Fewest Penalty Yards Per Game	106	64.00
Tulsa	Time of Possession	23	   31:34
Tulane	Stat	Rank	Value
Tulane	Total Offense	107	346.8
Tulane	Rushing Offense	91	145.5
Tulane	Passing Offense	85	201.3
Tulane	Team Passing Efficiency	122	101.53
Tulane	Scoring Offense	121	16.0
Tulane	Total Defense	55	387.8
Tulane	Rushing Defense	50	157.9
Tulane	Passing Yards Allowed	67	229.9
Tulane	Team Passing Efficiency Defense	58	126.57
Tulane	Scoring Defense	79	28.4
Tulane	Turnover Margin	T-45	0.25
Tulane	3rd Down Conversion Pct	112	0.332
Tulane	4th Down Conversion Pct	120	0.259
Tulane	3rd Down Conversion Pct Defense	45	0.381
Tulane	4th Down Conversion Pct Defense	23	0.389
Tulane	Red Zone Offense	T-123	0.667
Tulane	Red Zone Defense	2	0.685
Tulane	Net Punting	110	34.10
Tulane	Punt Returns	111	4.56
Tulane	Kickoff Returns	124	16.76
Tulane	First Downs Offense	T-101	226
Tulane	First Downs Defense	T-37	246
Tulane	Fewest Penalties Per Game	108	7.50
Tulane	Fewest Penalty Yards Per Game	114	70.08
Tulane	Time of Possession	44	   30:31
Stanford	Stat	Rank	Value
Stanford	Total Offense	75	388.6
Stanford	Rushing Offense	70	158.8
Stanford	Passing Offense	65	229.8
Stanford	Team Passing Efficiency	27	144.09
Stanford	Scoring Offense	77	27.2
Stanford	Total Defense	3	282.4
Stanford	Rushing Defense	7	104.5
Stanford	Passing Yards Allowed	8	177.9
Stanford	Team Passing Efficiency Defense	6	105.79
Stanford	Scoring Defense	2	16.4
Stanford	Turnover Margin	95	-0.38
Stanford	3rd Down Conversion Pct	T-43	0.424
Stanford	4th Down Conversion Pct	119	0.300
Stanford	3rd Down Conversion Pct Defense	26	0.358
Stanford	4th Down Conversion Pct Defense	38	0.444
Stanford	Red Zone Offense	109	0.737
Stanford	Red Zone Defense	50	0.818
Stanford	Net Punting	112	33.78
Stanford	Punt Returns	1	18.32
Stanford	Kickoff Returns	32	22.45
Stanford	First Downs Offense	64	266
Stanford	First Downs Defense	T-14	219
Stanford	Fewest Penalties Per Game	53	5.77
Stanford	Fewest Penalty Yards Per Game	46	48.46
Stanford	Time of Possession	17	   32:12
Troy	Stat	Rank	Value
Troy	Total Offense	100	363.3
Troy	Rushing Offense	58	164.5
Troy	Passing Offense	91	198.8
Troy	Team Passing Efficiency	55	131.64
Troy	Scoring Offense	105	21.8
Troy	Total Defense	107	454.0
Troy	Rushing Defense	118	246.1
Troy	Passing Yards Allowed	35	207.9
Troy	Team Passing Efficiency Defense	98	136.72
Troy	Scoring Defense	111	36.2
Troy	Turnover Margin	T-40	0.33
Troy	3rd Down Conversion Pct	79	0.389
Troy	4th Down Conversion Pct	75	0.480
Troy	3rd Down Conversion Pct Defense	123	0.509
Troy	4th Down Conversion Pct Defense	T-85	0.588
Troy	Red Zone Offense	94	0.778
Troy	Red Zone Defense	122	0.926
Troy	Net Punting	92	35.87
Troy	Punt Returns	88	6.56
Troy	Kickoff Returns	55	21.43
Troy	First Downs Offense	105	221
Troy	First Downs Defense	T-85	279
Troy	Fewest Penalties Per Game	T-73	6.17
Troy	Fewest Penalty Yards Per Game	96	59.75
Troy	Time of Possession	75	   29:21
Texas St.	Stat	Rank	Value
Texas St.	Total Offense	24	464.4
Texas St.	Rushing Offense	18	238.5
Texas St.	Passing Offense	69	225.9
Texas St.	Team Passing Efficiency	35	140.40
Texas St.	Scoring Offense	31	33.8
Texas St.	Total Defense	99	446.1
Texas St.	Rushing Defense	100	202.8
Texas St.	Passing Yards Allowed	85	243.3
Texas St.	Team Passing Efficiency Defense	73	129.95
Texas St.	Scoring Defense	73	27.7
Texas St.	Turnover Margin	25	0.58
Texas St.	3rd Down Conversion Pct	76	0.390
Texas St.	4th Down Conversion Pct	28	0.600
Texas St.	3rd Down Conversion Pct Defense	66	0.400
Texas St.	4th Down Conversion Pct Defense	101	0.615
Texas St.	Red Zone Offense	45	0.860
Texas St.	Red Zone Defense	37	0.787
Texas St.	Net Punting	9	41.26
Texas St.	Punt Returns	27	10.33
Texas St.	Kickoff Returns	120	18.18
Texas St.	First Downs Offense	53	278
Texas St.	First Downs Defense	T-61	262
Texas St.	Fewest Penalties Per Game	T-80	6.25
Texas St.	Fewest Penalty Yards Per Game	89	59.00
Texas St.	Time of Possession	107	   28:06
UL Lafayette	Stat	Rank	Value
UL Lafayette	Total Offense	54	417.4
UL Lafayette	Rushing Offense	22	225.9
UL Lafayette	Passing Offense	98	191.5
UL Lafayette	Team Passing Efficiency	62	129.34
UL Lafayette	Scoring Offense	58	29.5
UL Lafayette	Total Defense	72	405.8
UL Lafayette	Rushing Defense	35	142.2
UL Lafayette	Passing Yards Allowed	105	263.6
UL Lafayette	Team Passing Efficiency Defense	106	140.99
UL Lafayette	Scoring Defense	56	26.0
UL Lafayette	Turnover Margin	T-48	0.23
UL Lafayette	3rd Down Conversion Pct	47	0.422
UL Lafayette	4th Down Conversion Pct	T-58	0.500
UL Lafayette	3rd Down Conversion Pct Defense	55	0.390
UL Lafayette	4th Down Conversion Pct Defense	62	0.516
UL Lafayette	Red Zone Offense	10	0.912
UL Lafayette	Red Zone Defense	10	0.733
UL Lafayette	Net Punting	62	37.68
UL Lafayette	Punt Returns	78	6.94
UL Lafayette	Kickoff Returns	109	19.03
UL Lafayette	First Downs Offense	48	283
UL Lafayette	First Downs Defense	49	253
UL Lafayette	Fewest Penalties Per Game	T-28	5.00
UL Lafayette	Fewest Penalty Yards Per Game	23	40.69
UL Lafayette	Time of Possession	21	   31:42
South Fla.	Stat	Rank	Value
South Fla.	Total Offense	118	304.7
South Fla.	Rushing Offense	114	107.9
South Fla.	Passing Offense	95	196.8
South Fla.	Team Passing Efficiency	113	107.59
South Fla.	Scoring Offense	116	17.2
South Fla.	Total Defense	69	402.8
South Fla.	Rushing Defense	83	182.9
South Fla.	Passing Yards Allowed	51	219.8
South Fla.	Team Passing Efficiency Defense	108	141.27
South Fla.	Scoring Defense	T-65	27.0
South Fla.	Turnover Margin	T-59	0.00
South Fla.	3rd Down Conversion Pct	90	0.376
South Fla.	4th Down Conversion Pct	78	0.474
South Fla.	3rd Down Conversion Pct Defense	110	0.453
South Fla.	4th Down Conversion Pct Defense	122	0.833
South Fla.	Red Zone Offense	T-117	0.704
South Fla.	Red Zone Defense	106	0.886
South Fla.	Net Punting	30	39.12
South Fla.	Punt Returns	86	6.65
South Fla.	Kickoff Returns	66	20.67
South Fla.	First Downs Offense	121	182
South Fla.	First Downs Defense	56	258
South Fla.	Fewest Penalties Per Game	80	6.25
South Fla.	Fewest Penalty Yards Per Game	98	60.67
South Fla.	Time of Possession	109	   28:04
UCF	Stat	Rank	Value
UCF	Total Offense	99	363.6
UCF	Rushing Offense	103	128.3
UCF	Passing Offense	58	235.3
UCF	Team Passing Efficiency	64	128.81
UCF	Scoring Offense	69	28.1
UCF	Total Defense	5	298.5
UCF	Rushing Defense	6	104.3
UCF	Passing Yards Allowed	21	194.2
UCF	Team Passing Efficiency Defense	11	107.76
UCF	Scoring Defense	9	19.2
UCF	Turnover Margin	T-66	-0.08
UCF	3rd Down Conversion Pct	54	0.415
UCF	4th Down Conversion Pct	55	0.520
UCF	3rd Down Conversion Pct Defense	38	0.373
UCF	4th Down Conversion Pct Defense	T-9	0.286
UCF	Red Zone Offense	81	0.804
UCF	Red Zone Defense	6	0.714
UCF	Net Punting	108	34.25
UCF	Punt Returns	52	8.50
UCF	Kickoff Returns	3	26.58
UCF	First Downs Offense	T-64	266
UCF	First Downs Defense	T-18	225
UCF	Fewest Penalties Per Game	T-56	5.85
UCF	Fewest Penalty Yards Per Game	73	54.31
UCF	Time of Possession	19	   31:53
Central Mich.	Stat	Rank	Value
Central Mich.	Total Offense	67	398.1
Central Mich.	Rushing Offense	74	155.2
